Vaisala Hum,SGS Temp,SGS RAW
15.1,25.1,56410
15,25.1,56405
14.9,25.2,56399
14.8,25.1,56396
14.6,25,56400
14.5,25,56394
14.4,25,56395
14.3,25,56392
14.3,25,56388
14.1,25.1,56383
14,25,56385
13.9,24.9,56381
13.9,25,56376
13.7,25,56370
13.6,25.1,56361
13.5,25,56356
13.5,25,56360
13.3,25,56357
13.3,24.9,56354
13.2,24.9,56360
13.1,25,56359
13.1,25.1,56358
12.9,25,56358
12.9,25,56361
12.8,24.9,56361
12.8,24.9,56360
12.7,24.9,56358
12.6,24.8,56356
12.5,24.9,56357
12.5,24.9,56359
12.4,24.8,56360
12.4,24.8,56360
12.3,24.8,56360
12.3,24.9,56360
12.2,24.9,56362
12.2,24.9,56362
12.1,24.9,56354
12.1,24.9,56349
12.1,24.9,56351
12,24.8,56349
11.9,24.8,56345
11.9,24.7,56344
11.9,24.8,56345
11.9,24.8,56345
11.8,24.9,56342
11.8,24.9,56338
11.8,24.8,56335
11.7,24.8,56337
11.7,24.8,56332
11.6,24.8,56331
11.6,24.8,56331
11.6,24.8,56330
11.6,24.8,56330
11.5,24.8,56332
11.5,24.8,56332
11.5,24.7,56335
11.5,24.8,56330
11.4,24.7,56329
11.4,24.7,56325
11.4,24.7,56325
11.4,24.7,56324
11.3,24.7,56320
11.3,24.6,56321
11.3,24.7,56319
11.3,24.8,56321
11.2,24.8,56318
11.2,24.7,56318
11.2,24.7,56318
11.2,24.7,56318
11.2,24.6,56313
11.2,24.6,56309
11.1,24.7,56304
11.1,24.8,56298
11.1,24.7,56296
11.1,24.7,56297
11,24.7,56298
11,24.7,56302
11,24.7,56306
11,24.7,56302
11,24.7,56295
11,24.6,56285
11,24.6,56281
11,24.6,56282
10.9,24.6,56282
10.9,24.6,56290
10.9,24.6,56296
10.9,24.7,56294
10.9,24.7,56292
10.9,24.7,56291
10.8,24.6,56284
10.8,24.7,56278
10.8,24.6,56276
10.8,24.6,56277
10.8,24.6,56283
10.8,24.6,56291
10.8,24.7,56296
10.8,24.7,56302
10.8,24.7,56304
10.8,24.6,56305
10.8,24.6,56305
10.8,24.6,56303
10.8,24.6,56298
10.8,24.5,56298
10.8,24.5,56295
10.8,24.6,56291
10.8,24.6,56287
10.8,24.7,56288
10.8,24.6,56292
10.8,24.6,56289
10.8,24.5,56289
10.8,24.5,56287
10.8,24.5,56288
10.8,24.6,56294
10.8,24.5,56296
10.8,24.5,56294
10.8,24.4,56292
10.8,24.5,56286
10.8,24.6,56278
10.8,24.6,56276
10.8,24.6,56276
10.8,24.5,56276
10.8,24.4,56275
10.8,24.5,56276
10.8,24.5,56275
10.8,24.6,56276
10.8,24.5,56276
10.8,24.5,56276
10.8,24.5,56277
10.8,24.5,56278
10.8,24.6,56276
10.8,24.5,56276
10.8,24.4,56274
10.8,24.4,56272
10.8,24.4,56274
10.8,24.5,56275
10.8,24.6,56275
10.8,24.5,56272
10.8,24.5,56271
10.8,24.6,56268
10.8,24.5,56267
10.8,24.5,56267
10.8,24.4,56266
10.8,24.5,56271
10.8,24.5,56271
10.8,24.5,56273
10.8,24.5,56273
10.8,24.5,56274
10.8,24.5,56273
10.8,24.4,56272
10.8,24.5,56268
10.8,24.5,56271
10.8,24.5,56274
10.8,24.4,56274
10.8,24.4,56275
10.8,24.4,56274
10.8,24.5,56269
10.8,24.5,56265
10.8,24.5,56263
10.8,24.5,56263
10.8,24.5,56264
10.8,24.5,56265
10.8,24.5,56265
10.9,24.5,56265
10.9,24.5,56262
10.9,24.4,56256
10.9,24.4,56257
10.9,24.4,56262
10.9,24.4,56265
10.9,24.4,56266
10.9,24.4,56264
10.9,24.5,56258
10.9,24.5,56256
10.9,24.5,56257
10.9,24.4,56252
11,24.4,56250
11,24.3,56250
11,24.3,56250
11,24.4,56250
11,24.4,56253
11,24.4,56253
11.1,24.4,56250
11.1,24.4,56250
11.1,24.5,56249
11.1,24.5,56245
11.2,24.6,56245
11.2,24.5,56241
11.2,24.5,56236
11.2,24.4,56237
11.3,24.3,56239
11.3,24.4,56243
11.3,24.3,56244
11.3,24.3,56248
11.4,24.3,56249
11.4,24.3,56248
11.4,24.3,56247
11.4,24.3,56252
11.5,24.4,56256
11.5,24.4,56259
11.5,24.4,56256
11.5,24.3,56253
11.5,24.4,56248
11.5,24.4,56245
11.5,24.4,56243
11.5,24.3,56241
11.5,24.3,56240
11.5,24.3,56235
11.6,24.3,56235
11.6,24.4,56233
11.6,24.4,56231
11.6,24.3,56232
11.6,24.3,56228
11.6,24.4,56230
11.6,24.5,56234
11.6,24.5,56234
11.6,24.4,56236
11.6,24.3,56238
11.7,24.3,56242
11.7,24.2,56244
11.7,24.3,56243
11.7,24.2,56238
11.7,24.2,56236
11.7,24.2,56237
11.7,24.2,56238
11.7,24.2,56238
11.8,24.2,56239
11.9,24.2,56241
11.9,24.2,56240
12.1,24.2,56238
12.1,24.2,56239
12.2,24.2,56243
12.5,24.3,56249
12.6,24.2,56254
12.8,24.2,56257
12.9,24.2,56263
13.2,24.2,56267
13.4,24.2,56270
13.6,24.2,56272
13.8,24.1,56272
14.1,24.1,56272
14.2,24.1,56273
14.6,24.2,56276
14.7,24.2,56276
15.1,24.2,56277
15.2,24.2,56277
15.4,24.2,56276
15.7,24.1,56277
15.9,24.1,56277
16.2,24.2,56277
16.4,24.1,56277
16.7,24,56278
16.9,24,56278
17.2,24.1,56277
17.4,24.2,56276
17.7,24.2,56276
17.9,24.2,56276
18.2,24.1,56276
18.4,24.1,56276
18.7,24,56277
18.8,24.1,56277
19.2,24.2,56280
19.3,24.1,56280
19.7,24.1,56280
19.8,24,56280
20,24,56286
20.3,24,56289
20.4,24.1,56291
20.7,24,56295
20.8,24,56302
20.8,24,56307
21.3,24,56310
21.3,24,56312
21.7,24,56314
21.9,24,56316
22.2,24,56316
22.2,24,56315
22.4,24,56318
22.7,24.1,56319
22.7,24,56322
23,24,56325
23.3,24,56328
23.3,24,56329
23.6,24,56330
23.6,24,56331
23.9,23.9,56332
24,23.9,56332
24.3,24,56333
24.5,24,56334
24.5,24,56335
24.8,24,56335
24.8,23.9,56334
25.1,24,56335
25.3,24,56334
25.4,24,56337
25.4,24,56338
25.7,24,56338
25.9,24,56338
26,24,56340
26.1,24.1,56342
26.4,24,56343
26.5,24,56341
26.6,24,56343
26.6,24,56343
26.8,24,56347
26.9,24.1,56349
27.1,24.1,56350
27.2,24.1,56350
27.2,24.1,56352
27.4,24,56354
27.5,24,56356
27.6,24,56355
27.7,24,56353
27.8,24,56354
27.9,24,56355
28,24,56353
28.2,23.9,56350
28.3,24,56351
28.4,24,56352
