Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS Calc,SGS 2 Hum,SGS 2 Temp,SGS 2 RAW,SGS 2 Calc
09:56:17,71.07,21.24,71.8,21.3,81.7,21.2,527416,26537.37,54.5,21.6,546032,12837.61
09:56:18,71.05,21.25,71.8,21.3,81.7,21.2,527416,26537.37,54.5,21.6,546033,12837.63
09:56:19,71.07,21.24,71.8,21.3,81.7,21.1,527413,26537.2,54.5,21.7,546028,12837.5
09:56:20,71.05,21.24,71.8,21.3,81.7,21.1,527414,26537.25,54.5,21.7,546029,12837.53
09:56:21,71.06,21.24,71.8,21.3,81.7,21.1,527415,26537.31,54.5,21.7,546028,12837.5
09:56:22,71.05,21.25,71.8,21.3,81.7,21.1,527416,26537.37,54.5,21.7,546028,12837.5
09:56:23,71.03,21.24,71.8,21.3,81.7,21.1,527416,26537.37,54.5,21.7,546028,12837.5
09:56:24,71.02,21.24,71.8,21.3,81.7,21.1,527414,26537.25,54.4,21.8,546024,12837.4
09:56:25,71,21.24,71.8,21.3,81.7,21.1,527415,26537.31,54.4,21.8,546025,12837.42
09:56:26,70.98,21.24,71.8,21.3,81.7,21.1,527415,26537.31,54.4,21.8,546024,12837.4
09:56:27,70.95,21.24,71.8,21.3,81.7,21.1,527414,26537.25,54.3,21.7,546020,12837.29
09:56:28,70.96,21.24,71.7,21.3,81.7,21.1,527411,26537.08,54.3,21.8,546021,12837.32
09:56:29,70.94,21.24,71.7,21.3,81.7,21.1,527413,26537.2,54.3,21.8,546021,12837.32
09:56:30,70.95,21.24,71.7,21.3,81.7,21.1,527414,26537.25,54.3,21.8,546019,12837.26
09:56:31,70.93,21.24,71.7,21.3,81.7,21.2,527412,26537.14,54.3,21.8,546021,12837.32
09:56:32,70.91,21.24,71.7,21.3,81.7,21.1,527413,26537.2,54.3,21.7,546020,12837.29
09:56:33,70.95,21.24,71.7,21.3,81.7,21.1,527415,26537.31,54.3,21.8,546019,12837.26
09:56:34,70.94,21.24,71.7,21.3,81.7,21.1,527414,26537.25,54.3,21.8,546014,12837.13
09:56:35,70.94,21.24,71.7,21.3,81.7,21.1,527413,26537.2,54.3,21.8,546016,12837.19
09:56:36,70.94,21.24,71.7,21.3,81.7,21.1,527415,26537.31,54.3,21.8,546015,12837.16
09:56:37,70.93,21.24,71.7,21.3,81.7,21.1,527416,26537.37,54.4,21.9,546014,12837.13
09:56:38,70.92,21.24,71.7,21.3,81.7,21.1,527414,26537.25,54.3,21.9,546013,12837.11
09:56:39,70.95,21.24,71.7,21.3,81.7,21.1,527414,26537.25,54.3,21.9,546008,12836.98
09:56:40,70.96,21.24,71.7,21.3,81.7,21.1,527412,26537.14,54.3,21.9,546012,12837.08
09:56:41,70.95,21.24,71.7,21.3,81.7,21.1,527412,26537.14,54.3,21.9,546011,12837.05
09:56:42,70.91,21.24,71.7,21.3,81.7,21.1,527411,26537.08,54.3,21.9,546009,12837
09:56:43,70.92,21.24,71.7,21.3,81.7,21.2,527412,26537.14,54.3,21.9,546008,12836.98
09:56:44,70.9,21.24,71.7,21.3,81.7,21.2,527407,26536.86,54.3,21.9,546008,12836.98
